state_name,month_reported,reported_cases,weather_notes,extra_column
Borno,Jun,129,,irrelevant
Enugu,,1872,Dry season,###
Benue,Feb,868,123,irrelevant
Kaduna,Jan,1450,,irrelevant
Abuja,Feb,1893,,
katsina,Jun,1294,123,irrelevant
katsina,Sep,1753,123,
gombe,Jul,1439,Heavy rain,irrelevant
Enugu,Feb,1209,flooded!!!,
Plateau,Jan,1860,Heavy rain,irrelevant
Kaduna,Oct,1425,Dry season,###
Borno,Apr,959,123,###
Kaduna,Apr,1728,Heavy rain,irrelevant
Adamawa,Feb,1611,flooded!!!,###
Oyo,Sep,783,flooded!!!,irrelevant
Bauchi,Aug,969,123,
katsina,Aug,38,Heavy rain,
gombe,Feb,1147,Dry season,irrelevant
Yobe,Nov,203,Heavy rain,irrelevant
Anambra,,1512,123,###
Borno,Jul,1979,,irrelevant
Ed0o,Jan,1101,123,###
G0mbe,Aug,1132,Heavy rain,
Jigawa,Apr,1421,123,
Abuja,Sep,1499,Heavy rain,###
Zamfara,Dec,1099,Heavy rain,
Kebbis,Oct,1814,Heavy rain,
??Rivers,Jul,1874,Heavy rain,
S0koto,Jul,1072,flooded!!!,
kogi,Feb,614,123,###
Kwara,Jul,1889,,
Ed0o,Dec,682,123,###
KAN0,Sep,1599,Heavy rain,irrelevant
Enugu,Jan,1554,,irrelevant
Bauchi,Mar,1944,flooded!!!,###
Taraba,May,110,123,###
Enugu,Mar,1355,123,###
kogi,Sep,0,Heavy rain,###
Nasarawa,???,1885,Heavy rain,irrelevant
Enugu,Apr,1467,flooded!!!,
Kaduna,Dec,407,,###
Delta,Jun,1610,Heavy rain,###
Kaduba,Dec,881,123,irrelevant
Lagos,Apr,1817,Dry season,irrelevant
Kano,Jan,1709,123,
Kwara,,1978,,
S0koto,Jan,711,123,irrelevant
Kaduna,Jan,686,123,
Ekiti,Oct,1765,flooded!!!,###
Yobe,,765,Heavy rain,
Anambra,May,1993,flooded!!!,
crossriver,,971,Dry season,irrelevant
Anambra,Aug,1688,Dry season,
Ekiti,Dec,828,flooded!!!,###
Borno,Jan,180,flooded!!!,
Kaduna,Oct,631,flooded!!!,###
Yobe,Mar,1038,,
katsina,Nov,728,Heavy rain,
Anambra,Apr,1381,Heavy rain,
gombe,Feb,569,Dry season,
??Rivers,May,1794,flooded!!!,
Enugu,Dec,713,,irrelevant
Kaduna,Mar,1179,Dry season,
Zamfara,Jun,1284,Dry season,###
Abuja,Mar,1921,Dry season,###
Bauchi,???,1791,flooded!!!,###
Bauchi,Dec,1249,Dry season,
Abla,Jul,1054,,irrelevant
Borno,Aug,962,Heavy rain,irrelevant
Ogun,Jun,431,,irrelevant
G0mbe,Aug,1353,Dry season,
Ondo,Apr,1096,123,###
Yobe,Sep,910,,###
Lagos,Nov,662,Dry season,###
Ekiti,Sep,381,123,irrelevant
Enugu,Apr,1722,,irrelevant
Ogun,Sep,1559,flooded!!!,###
??Rivers,Aug,542,Heavy rain,###
Bayelsa,Apr,1561,,irrelevant
Jigawa,Aug,1522,123,
Anambra,Aug,405,Heavy rain,###
Kebbis,Nov,1233,Heavy rain,
G0mbe,Jul,430,,
Borno,Aug,1203,123,###
Bayelsa,,399,,irrelevant
Kaduna,Nov,669,123,###
G0mbe,Dec,155,Heavy rain,irrelevant
Enugu,,1574,Heavy rain,irrelevant
benue,Jul,1268,flooded!!!,
crossriver,Dec,1783,flooded!!!,irrelevant
gombe,Oct,1301,,
Adamawa,Feb,744,Dry season,
Enugu,Sep,1921,Dry season,###
Jigawa,Sep,829,,
benue,Mar,1980,,###
crossriver,May,1972,Heavy rain,
kogi,Jan,1310,Dry season,###
Taraba,Jun,1832,Dry season,irrelevant
Nasarawa,Oct,1561,flooded!!!,irrelevant
Niger,,1759,Dry season,
Anambra,Jan,543,123,
Kebbis,May,1280,Dry season,
Ebonyi,Jul,1739,123,###
Anambra,Jan,306,flooded!!!,irrelevant
Kaduna,,38,123,
Plateau,Aug,652,123,irrelevant
Abla,Oct,1800,Dry season,irrelevant
Kaduba,Sep,280,Heavy rain,###
Niger,Apr,1255,Dry season,###
Adamawa,Feb,1244,,irrelevant
Taraba,Oct,128,Dry season,irrelevant
Jigawa,???,490,123,
Ekiti,May,1928,123,###
Kwara,Apr,621,,###
Bauchi,Dec,1736,,###
Enugu,Jan,701,Dry season,
??Rivers,Jun,1980,flooded!!!,
Kebbis,,1434,123,
Abla,Oct,10,flooded!!!,
katsina,???,913,,irrelevant
Zamfara,Jan,1167,123,###
Cross River,Feb,1640,Dry season,
Plateau,???,160,,
Enugu,Dec,991,,###
gombe,Mar,1226,flooded!!!,irrelevant
Ondo,Jun,1904,Dry season,###
Kano,Dec,1000,Heavy rain,irrelevant
G0mbe,Jul,429,Dry season,###
Imo,Nov,156,Dry season,irrelevant
Ogun,Jun,387,Dry season,###
Kano,,404,Heavy rain,###
benue,Jul,625,123,
Bayelsa,Apr,1601,,###
Abla,Dec,732,Heavy rain,
Ondo,May,1853,,
benue,Dec,468,,###
Zamfara,Nov,1225,,
Kaduna,Oct,695,,irrelevant
Abla,Jan,1447,Dry season,###
Cross River,Oct,1545,Dry season,
katsina,???,450,Heavy rain,###
Kaduba,Mar,1124,flooded!!!,###
G0mbe,Aug,766,Dry season,irrelevant
Zamfara,Oct,671,Dry season,
Kaduna,Nov,830,flooded!!!,
KAN0,,1445,123,
Delta,,892,Heavy rain,
Kaduna,Dec,445,,
Ekiti,???,622,flooded!!!,
Ondo,???,412,123,###
katsina,Sep,1233,123,
Jigawa,Nov,1282,123,
kogi,Mar,1785,flooded!!!,###
Niger,Jan,978,Heavy rain,
Ekiti,Jun,885,Heavy rain,
Borno,May,1676,Dry season,###
crossriver,Jan,299,123,irrelevant
Kaduna,Aug,1336,123,irrelevant
Lagos,Mar,170,Heavy rain,
Imo,Feb,1018,Dry season,
Enugu,Oct,,Heavy rain,###
Kaduba,Mar,1034,123,###
Ondo,,279,,irrelevant
Nasarawa,Apr,842,,irrelevant
crossriver,Oct,837,Heavy rain,###
Borno,Mar,1131,,
Abla,Aug,1582,,
gombe,Feb,,Dry season,
Ebonyi,Apr,161,Heavy rain,
Ebonyi,Apr,1528,,###
Imo,Oct,85,Dry season,###
Kano,Sep,1627,,irrelevant
Ed0o,,1091,,
Osun,Feb,1867,123,###
Enugu,Jan,335,Heavy rain,irrelevant
Abla,Jan,617,Dry season,
Taraba,Dec,1682,flooded!!!,irrelevant
benue,Apr,787,123,
Bauchi,Dec,1810,Dry season,
Niger,Feb,1621,Heavy rain,###
Kebbis,Nov,1823,Dry season,###
Bauchi,Jul,1783,Dry season,
Abuja,Sep,97,123,
katsina,Feb,1962,Dry season,irrelevant
Plateau,Aug,1061,flooded!!!,###
Ogun,Oct,1816,Heavy rain,###
crossriver,Sep,750,123,###
Kwara,Jun,1179,,###
Ondo,Jun,1193,flooded!!!,###
Enugu,Jul,841,123,
Anambra,Dec,984,Heavy rain,###
Kaduna,Feb,1510,Dry season,
Ebonyi,Jun,1033,,irrelevant
Delta,May,1462,Dry season,
Enugu,May,644,flooded!!!,irrelevant
Nasarawa,,623,flooded!!!,
Jigawa,Nov,485,flooded!!!,###
S0koto,May,1697,Heavy rain,###
Enugu,Nov,1554,,###
Enugu,Sep,1884,,
KAN0,Mar,757,flooded!!!,###
KAN0,Jul,356,Heavy rain,###
Bayelsa,Jun,933,123,
Kaduba,Dec,259,123,###
S0koto,Nov,375,,###
Abla,Nov,806,Heavy rain,###
Kebbis,Jan,15,123,
Oyo,,804,123,irrelevant
Osun,Nov,352,Dry season,irrelevant
Kebbis,Oct,1588,Heavy rain,###
Abla,Dec,515,flooded!!!,
Plateau,Mar,800,Dry season,###
Niger,Jun,268,Dry season,irrelevant
Niger,???,1252,Heavy rain,
Anambra,Jul,255,Heavy rain,
Kaduna,Oct,1971,123,###
G0mbe,,101,flooded!!!,
S0koto,Jul,78,Heavy rain,
gombe,Apr,1529,Heavy rain,###
lagos ,Sep,1116,123,irrelevant
Adamawa,Aug,951,flooded!!!,irrelevant
Lagos,May,1320,Heavy rain,
Plateau,Mar,1097,Dry season,
Anambra,Feb,1452,Dry season,
Bauchi,Oct,590,Dry season,###
Imo,May,1271,Heavy rain,irrelevant
crossriver,Dec,315,123,###
Kwara,???,932,Dry season,
Imo,Jul,284,123,###
Plateau,Aug,628,flooded!!!,irrelevant
Oyo,???,21,123,irrelevant
Cross River,Jun,1681,123,irrelevant
Kaduna,Oct,1194,Heavy rain,
Enugu,???,396,flooded!!!,irrelevant
Anambra,Aug,1879,,
Benue,Aug,678,,irrelevant
KAN0,Jan,1806,123,irrelevant
Ed0o,Jun,1901,flooded!!!,irrelevant
Rivers,,127,flooded!!!,
Bayelsa,???,1788,123,###
Nasarawa,Jul,896,Dry season,
Anambra,Mar,1688,Heavy rain,
Bauchi,Feb,1450,Dry season,
Borno,Feb,344,Heavy rain,
Adamawa,Nov,1632,123,irrelevant
Kebbis,,1533,123,
gombe,Jun,1472,flooded!!!,
Kwara,Nov,874,flooded!!!,###
Kebbis,Sep,1568,,
Plateau,Aug,741,Dry season,
Kebbis,,136,flooded!!!,irrelevant
Zamfara,Jul,324,123,
KAN0,Nov,409,Dry season,irrelevant
Kaduba,Jun,983,123,###
Kaduba,Dec,545,Heavy rain,
S0koto,Apr,1636,Heavy rain,###
S0koto,Nov,831,Heavy rain,irrelevant
Rivers,Aug,769,Dry season,###
??Rivers,Jun,1517,Heavy rain,
Abuja,Oct,711,123,irrelevant
katsina,Nov,1554,Heavy rain,irrelevant
Abuja,Jul,1326,123,
Jigawa,Dec,628,Dry season,irrelevant
Anambra,Apr,1683,flooded!!!,###
Enugu,Dec,492,123,irrelevant
Zamfara,Jul,1179,flooded!!!,###
Kaduna,Jul,522,Heavy rain,irrelevant
Kaduna,Mar,544,Heavy rain,###
Ogun,Sep,234,flooded!!!,
S0koto,???,372,Dry season,irrelevant
Nasarawa,Dec,520,,irrelevant
Enugu,Mar,1719,Heavy rain,
Delta,Mar,418,,###
Ondo,Sep,1515,flooded!!!,irrelevant
Kebbis,Jun,1228,Dry season,
Kebbis,Jan,182,Dry season,###
Ebonyi,Feb,1176,Dry season,irrelevant
benue,???,863,Heavy rain,irrelevant
Plateau,Aug,483,Dry season,###
Ogun,Feb,639,,irrelevant
Benue,Dec,1889,Dry season,###
Cross River,???,476,,irrelevant
Anambra,Oct,1404,Dry season,irrelevant
Benue,Mar,417,flooded!!!,###
Abuja,May,1078,123,
crossriver,Nov,386,Dry season,###
Yobe,Jul,1256,123,
Ebonyi,???,190,Heavy rain,###
gombe,May,1032,flooded!!!,
Kebbis,Jul,127,123,###
Kwara,Jan,1828,flooded!!!,###
Cross River,Oct,1974,123,
Anambra,Jan,1630,,irrelevant
Delta,Jan,145,flooded!!!,
benue,Aug,1784,flooded!!!,irrelevant
Anambra,Oct,1266,123,irrelevant
Anambra,???,383,Heavy rain,###
Abuja,Sep,28,Dry season,irrelevant
Yobe,Jan,1822,,###
Abla,Nov,389,Dry season,irrelevant
Adamawa,Feb,243,,
Niger,Mar,1999,123,irrelevant
Kaduna,Mar,1831,flooded!!!,###
Rivers,Oct,1833,Dry season,###
Ekiti,Jun,920,,
Ogun,Aug,1483,Heavy rain,###
Lagos,Oct,719,Dry season,###
Taraba,Jul,1301,Dry season,
Niger,Dec,871,,irrelevant
Anambra,Jun,1393,Heavy rain,irrelevant
Yobe,Oct,1373,,###
Abuja,Sep,735,Heavy rain,
Ondo,Nov,867,flooded!!!,
Osun,Nov,956,flooded!!!,irrelevant
Kebbis,,1912,Dry season,###
Yobe,Jan,1054,flooded!!!,irrelevant
Oyo,,789,flooded!!!,###
Ogun,Jan,67,,
Ondo,???,1963,Dry season,irrelevant
Kaduna,Jun,555,123,###
Imo,Apr,258,,###
Kano,???,1573,Dry season,irrelevant
Abla,???,1827,Dry season,irrelevant
Kwara,Mar,270,flooded!!!,irrelevant
kogi,Jan,337,flooded!!!,irrelevant
Cross River,Aug,790,Dry season,irrelevant
Jigawa,Apr,1510,123,###
Kano,Sep,1922,,irrelevant
Ebonyi,Oct,88,,irrelevant
Adamawa,???,1563,,###
Rivers,Aug,1549,flooded!!!,
Lagos,Feb,1323,flooded!!!,
gombe,???,1756,123,
Taraba,Nov,559,Heavy rain,###
gombe,Aug,946,Dry season,irrelevant
Ogun,Mar,666,Dry season,
Bauchi,???,1790,123,###
Imo,Dec,793,,
Zamfara,Jan,440,Heavy rain,###
Abuja,???,714,Dry season,irrelevant
Anambra,???,21,Dry season,irrelevant
Ekiti,Feb,753,123,###
Kaduna,Jun,1777,,###
katsina,Dec,1457,Heavy rain,
Abla,Jun,1021,123,irrelevant
Taraba,Dec,1695,flooded!!!,###
Ekiti,Nov,1224,,
Adamawa,Dec,1475,Dry season,###
??Rivers,Jun,55,,
kogi,Jan,1769,Dry season,irrelevant
Kaduna,Feb,92,123,###
Kwara,Feb,1849,flooded!!!,
